X;Y;Z;SetPoint Y
160;-80.5625;-160.9375;-90
154.4375;-74.8125;-127;-80
147.4375;-66.625;-114.0625;-70
139.75;-58.3125;-108.4375;-60
132;-50.8125;-105.5625;-50
121.6875;-41.25;-103.75;-40
111.0625;-31.625;-102.625;-30
100;-21.8125;-101.9375;-20
88.625;-12;-101.6875;-10
77.0625;-2.1875;-101.8125;0
65.1875;7.5;-102.0625;10
53.0625;17.25;-102.75;20
40.6875;26.875;-103.875;30
28.0625;36.4375;-105.625;40
15.25;45.8125;-108.25;50
2;55.0625;-112.625;60
348.625;64;-119.75;70
334.9375;72.0625;-135;80
321.3125;77.125;-167.125;90
319.625;77.1875;-168.5625;90
326.8125;72.875;-137.6875;80
335.0625;66.3125;-122.8125;70
344.3125;58.375;-114.5;60
354.875;49.1875;-109.1875;50
5.6875;39.875;-106.0625;40
16.8125;30.3125;-104;30
28.125;20.6875;-102.6875;20
39.75;11;-101.875;10
51.625;1.1875;-101.4375;0
63.5625;-8.5;-101.25;-10
75.8125;-18.3125;-101.375;-20
88.125;-28.125;-101.8125;-30
100.625;-37.875;-102.75;-40
113.125;-47.5625;-104.1875;-50
125.625;-57.125;-107.125;-60
138;-66.5;-112.125;-70
150.375;-75.375;-125.25;-80
162.375;-81.4375;-163.875;-90
