X;Y;Z;SetPoint Y
217.125;-80.8125;-165.875;-90
210.25;-75.4375;-128.625;-80
202.4375;-67.1875;-114.5625;-70
193.9375;-58.3125;-108.4375;-60
185.0625;-49.625;-105.125;-50
175.5625;-40.375;-102.8125;-40
165.5625;-30.625;-102.0625;-30
155.3125;-20.6875;-101.5;-20
145.0625;-10.6875;-101.3125;-10
134.875;-0.8125;-101.375;0
125.0625;8.75;-101.625;10
114.5;18.875;-102.5;20
104.6875;28.375;-103.5625;30
94.3125;38.25;-105.625;40
84.25;47.75;-108.5625;50
74.125;57.0625;-113.375;60
64;65.9375;-122.1875;70
54.4375;73.25;-139.125;80
44.125;77.3125;-175.6875;90
44.125;77.3125;-175.6875;90
53.5625;73.6875;-141.0625;80
63.0625;66.5625;-123.3125;70
72.5625;58.1875;-114.4375;60
82.0625;49.4375;-109.5625;50
92.375;39.75;-106.4375;40
102.8125;29.8125;-104.3125;30
113.0625;20;-103;20
122.875;10.5;-102.3125;10
133.5625;0.1875;-101.8125;0
143.75;-9.5625;-101.8125;-10
154.0625;-19.5625;-102;-20
164.375;-29.5;-102.625;-30
174.5625;-39.375;-103.75;-40
184.8125;-49.1875;-105.75;-50
194.875;-58.875;-109.25;-60
204.9375;-68.25;-116.375;-70
214.8125;-76.5625;-133.125;-80
224.3125;-80.875;-177.5625;-90
