X;Y;Z;SetPoint X
134.1875;-0.0625;-100.875;360
124.25;9.5625;-101;350
114.3125;19.3125;-101.5;340
104.375;29.0625;-102.4375;330
94.375;38.8125;-104;320
84.5625;48.3125;-106.5;310
74.5625;57.6875;-111.1875;300
64.625;66.6875;-119.25;290
54.6875;74.625;-136.8125;280
44.75;78.8125;-176.5625;270
34.75;75.5;140.625;260
24.875;67.875;120.875;250
14.75;58.75;111.9375;240
4.5625;49.1875;107.375;230
354.375;39.4375;104.75;220
343.9375;29.4375;103;210
333.5625;19.3125;101.875;200
323.625;9.625;101.3125;190
313.375;-0.375;100.9375;180
313.375;-0.375;100.9375;180
323.3125;9.375;101.0625;190
333.125;19;101.5625;200
343.125;28.8125;102.5;210
353.125;38.5;104.0625;220
2.9375;48;106.5;230
13.0625;57.4375;111.5;240
23.1875;66.375;120.3125;250
33.1875;74.0625;138.6875;260
43.3125;77.875;177.5;270
53.3125;74.6875;-142.4375;280
63.1875;67.3125;-122.875;290
73.3125;58.3125;-113.8125;300
83.25;49.0625;-108.8125;310
93.1875;39.5625;-105.9375;320
103.1875;29.9375;-104.125;330
113.125;20.25;-103;340
123.0625;10.5625;-102.4375;350
133;0.8125;-102.1875;360
