X;Y;Z;SetPoint X
29.75;3.75;-98.625;360
23.5;13.25;-99;350
16.3125;22.5625;-99.625;340
8.375;31.375;-100.5625;330
0.6875;38.9375;-101.6875;320
350.5;48.375;-104.0625;310
340.0625;57.6875;-107.8125;300
329.4375;66.75;-114.625;290
318.625;75.0625;-129.4375;280
307.75;80.375;-167.8125;270
296.3125;77.875;139.9375;260
284.8125;70.125;117.75;250
273.1875;61.125;108.75;240
261.1875;51.5625;104.1875;230
249.0625;41.875;101.5625;220
236.75;32.0625;100.0625;210
224.25;22.1875;98.875;200
211.875;12.25;98.0625;190
199.625;2.375;97.5;180
198.4375;2.0625;97.5;180
206.5;11.1875;97.9375;190
214.875;19.6875;98.4375;200
223.875;28.4375;99.375;210
234.3125;38.25;101.0625;220
244.625;47.875;103.3125;230
255.1875;57.3125;107;240
265.9375;66.5;113.875;250
276.875;74.875;129.0625;260
288.0625;80.1875;168.5625;270
299.125;77.625;-142;280
310.625;70.125;-119.75;290
322.25;61.3125;-110.5;300
334.1875;52;-105.6875;310
346.25;42.5;-103;320
358.6875;32.875;-101.25;330
11.3125;23.125;-100.125;340
24.0625;13.1875;-99.4375;350
36.9375;3.1875;-99;360
