X;Y;Z;SetPoint X
115.125;2.75;-101.3125;360
108.4375;12.25;-101.75;350
100.875;21.625;-102.5;340
92.625;30.75;-103.75;330
83.6875;39.6875;-105.4375;320
74.125;48.8125;-108.1875;310
64.5625;57.8125;-112.6875;300
55.0625;66.3125;-120.8125;290
45.125;73.9375;-138.625;280
35.1875;77.9375;-176.0625;270
25.4375;75.125;144.1875;260
15.1875;67.6875;123.0625;250
4.9375;58.75;113.3125;240
354.75;49.3125;108.1875;230
344.4375;39.625;105.1875;220
334.1875;29.8125;103.25;210
323.4375;19.5625;101.75;200
313.1875;9.5625;100.9375;190
302.9375;-0.3125;100.4375;180
302.9375;-0.3125;100.4375;180
312.375;8.9375;100.5625;190
321.9375;18.3125;101;200
332.0625;28.125;102.125;210
342.25;37.9375;104.0625;220
352.375;47.5;106.875;230
2.5625;57;111.5625;240
12.6875;66;120;250
22.5;73.625;136.875;260
32.5625;77.875;173.4375;270
42.5625;75.1875;-145.375;280
52.6875;67.875;-124.3125;290
62.6875;59.125;-114.5625;300
73.25;49.5;-109.1875;310
83.3125;40;-106.125;320
93.5;30.3125;-104.125;330
103.625;20.625;-102.875;340
113.8125;10.8125;-102.125;350
124.1875;0.8125;-101.75;360
