X;Y;Z;SetPoint Y
225;-80.625;-179.9375;-90
215.0625;-76.375;-133.5;-80
205.25;-68.25;-115.375;-70
195.4375;-59.125;-108;-60
185.5;-49.5625;-104.125;-50
175.5;-39.8125;-101.875;-40
165.5;-30;-101;-30
155.5;-20.1875;-100.1875;-20
145.375;-10.1875;-100.1875;-10
135.3125;-0.3125;-100.375;0
125.1875;9.5;-100.8125;10
115.25;19.3125;-101.3125;20
105.1875;29.0625;-102.5625;30
95.25;38.8125;-104.125;40
85.3125;48.3125;-107.125;50
75.3125;57.75;-111.5625;60
65.4375;66.6875;-119.625;70
55.5;74.5625;-137.5;80
45.5;78.625;-177.1875;90
45.5;78.625;-177.1875;90
55.4375;74.5625;-137.625;80
65.375;66.75;-119.75;70
75.3125;57.75;-111.5;60
85.25;48.3125;-107.125;50
95.25;38.75;-104.5;40
105.1875;29.0625;-102.9375;30
115.125;19.375;-101.9375;20
125.0625;9.625;-101.4375;10
134.875;0;-101.25;0
144.875;-9.6875;-101.4375;-10
155;-19.625;-101.625;-20
165.25;-29.625;-101.9375;-30
175.3125;-39.4375;-103.4375;-40
185.5;-49.375;-105.25;-50
195.4375;-59;-108.625;-60
205.4375;-68.25;-116.4375;-70
215.4375;-76.5;-135;-80
225.1875;-81.25;179;-90
