X;Y;Z;SetPoint Y
224.1875;-80.375;179.125;-90
214.5625;-76.6875;-134.375;-80
204.75;-68.5;-116.0625;-70
194.875;-59.25;-108.5;-60
185;-49.6875;-104.75;-50
174.9375;-39.9375;-102.8125;-40
164.875;-30.0625;-101.6875;-30
154.75;-20.125;-101.1875;-20
144.5625;-10.1875;-101.0625;-10
134.5;-0.375;-101.1875;0
124.3125;9.5;-101.5625;10
114.125;19.375;-102.3125;20
104;29.125;-103.5;30
93.875;38.875;-105.4375;40
83.75;48.4375;-108.4375;50
73.6875;57.75;-113.375;60
63.625;66.5625;-122.375;70
53.5;74.0625;-141.125;80
43.75;77.6875;-177.875;90
43.75;77.6875;-177.875;90
53.5;74.0625;-141.25;80
63.5625;66.5;-122.5625;70
73.6875;57.6875;-113.625;60
83.75;48.375;-108.8125;50
93.8125;38.8125;-105.875;40
103.8125;29.25;-104.0625;30
113.875;19.5;-102.875;20
123.9375;9.8125;-102.25;10
134.0625;0;-101.875;0
144.125;-9.8125;-101.8125;-10
154.25;-19.6875;-102.0625;-20
164.4375;-29.625;-102.6875;-30
174.5625;-39.5;-103.875;-40
184.5;-49.125;-105.8125;-50
194.6875;-58.9375;-109.5;-60
204.75;-68.3125;-116.875;-70
214.6875;-76.75;-134.8125;-80
224.5625;-80.9375;177;-90
